name	CAS_num	aroma	flavor
2,5-Dimethyl-3-Thioisovalerylfuran	55764-28-8	savory|meaty savory|cooked	
2,5-Dimethyl-4-Ethoxy-3(2H)-Furanone	65330-49-6	sweet fruity brown liquorlike	savory|meaty fruity starchy liquorlike
2,5-Dimethyl-4-Ethyloxazole	30408-61-8	savory|cooked sharp|bitter dairy	savory|meaty fruity earthy|nutty
2,5-Dimethyl-4-Methoxy-3(2H)-Furanone	4077-47-8	sweet savory|cooked brown sharp|bitter	sharp|repugnant
2,5-Dimethyl-4-hydroxy-2H-furan-3-one	3658-77-3	fruity fruity|berry	
2,5-Dimethylfuran	625-86-5	savory|meaty savory|cooked sharp|spicy	savory|meaty fruity fatty
2,5-Dimethylpyrazine	123-32-0	earthy starchy	savory|cooked sharp|repugnant starchy|bready
2,5-Dithiahexane	6628-18-8	sharp|sulfurous dairy	vegetal fatty dairy
2,5-Xylenol	"95-87-4
145929-31-3
50356-12-2"		earthy|nutty sharp|repugnant
2,6,10-Trimethyl-2,6,10-Pentadecatrien-14-One		floral	
2,6,10-Trimethyl-9-undecenal	141-13-9	floral	
2,6,6-Trimethyl-1-Cyclohexen-1-Acetaldehyde	472-66-2	dairy	
2,6,6-Trimethyl-6-Vinyltetrahydropyran	7392-19-0	earthy sharp|repugnant	
2,6,6-Trimethylcyclohex-2-Ene-1,4-Dione	1125-21-9	earthy|woody sharp|repugnant	
2,6,6-Trimethylcyclohexa-1,3-Dienyl Methanal	116-26-7	sharp|sour	earthy|woody
2,6-Dimethoxyphenol	91-10-1	earthy|woody	
2,6-Dimethyl 5-Heptenal Propyleneglycol Acetal	74094-63-6	fruity|citrusy	fruity|citrusy
2,6-Dimethyl Octanal	7779-07-9	fruity	fruity
2,6-Dimethyl-10-Methylene-2,6,11-Dodecatrienal	60066-88-8		fruity
2,6-Dimethyl-2-heptanol	13254-34-7	floral	
2,6-Dimethyl-2-octanol	18479-57-7	floral sharp|sour fruity|citrusy	
2,6-Dimethyl-3-[(2-Methyl-3-Furyl)Thio]-4-Heptanone	61295-51-0	savory|meaty	
2,6-Dimethyl-4-Heptanone	108-83-8	fruity dairy vegetal|herbal	
2,6-Dimethyl-5-Heptenal	106-72-9	fruity	fruity
2,6-Dimethyl-5-hepten-1-al	106-72-9	fruity vegetal|vegetable	
2,6-Dimethyl-6-Hepten-1-Ol	"36806-46-9
40326-01-0"	fruity	
2,6-Dimethylpyrazine	108-50-9	sharp|bitter brown|chocolate earthy|nutty sharp|repugnant	savory|meaty sharp|repugnant savory|cooked starchy sharp|bitter earthy|nutty brown
2,6-Dimethylpyridine	108-48-5	minty vegetal|herbal	earthy|nutty
2,6-Dimethylthiophenol	118-72-9		savory|meaty
2,6-Nonadien-1-Ol	7786-44-9	vegetal	fruity
2,6-Nonadienal Diethyl Acetal		vegetal|vegetable	
2,6-Xylenol	576-26-1	fatty	
2-(1-Methylpropyl)Thiazole	18277-27-5	vegetal|vegetable vegetal|herbal	sharp|repugnant brown|chocolate starchy sharp|bitter earthy|nutty brown
2-(2,4-Dimethyl-3-cyclohexenyl)-5-methyl-5-(1-methylpropyl)-1,3-dioxane	117933-89-8	earthy|woody	
2-(2-Butyl)-4,5-Dimethyl-3-Thiazoline	65894-82-8	savory|meaty vegetal	
2-(2-Hydroxy-4-Methyl-3-Cyclohexenyl)Propionic Acid Gamma-Lactone	57743-63-2	sharp|spicy dairy	
2-(2-Hydroxyphenyl) Cyclopropanecarboxylic Acid Delta-Lactone	5617-64-1	brown|vanilla earthy|nutty	
2-(3-Phenylpropyl)-Tetrahydrofuran	3208-40-0	sweet fruity floral brown	sweet floral brown
2-(3-Phenylpropyl)Pyridine	2110-18-1		fatty
2-(4-Methyl-2-Hydroxyphenyl)Propionic Acid-Γ-Lactone		vegetal|herbal	
2-(4-Methyl-5-Thiazolyl) Ethyl Butanoate	94159-31-6	savory|cooked earthy|nutty	
2-(4-Methyl-5-Thiazolyl) Ethyl Decanoate	101426-31-7	savory|cooked earthy|nutty	
2-(4-Methyl-5-Thiazolyl) Ethyl Formate		savory|cooked brown earthy|nutty	
2-(4-Methyl-5-Thiazolyl) Ethyl Hexanoate		savory|cooked earthy|nutty	
2-(4-Methyl-5-Thiazolyl) Ethyl Isobutyrate		savory|cooked earthy|nutty	
2-(4-Methyl-5-Thiazolyl) Ethyl Octanoate	163266-17-9	savory|cooked earthy|nutty	
2-(4-Methyl-5-Thiazolyl) Ethyl Propionate	324742-96-3	fruity savory|cooked earthy|nutty	
2-(Methylthio)Ethanol	5271-38-5	savory|meaty	
2-(Methylthio)Methyl-2-Butenal		vegetal savory|cooked sharp|bitter	
2-(P-Tolyl)-Propionaldehyde		minty sharp|sour vegetal|herbal	
2-(Trans-2-Pentenyl)Cyclopentanone	51608-18-5	brown	vegetal brown dairy
2-, 3- Or 10-Mercaptopinane	23832-18-0	fruity sharp|sulfurous sharp|bitter fruity|citrusy	sharp|sulfurous fruity sharp|bitter sharp|chemical fruity|citrusy
2-Acetoxy-3-Butanone	4906-24-5		fruity
2-Acetyl-1-Pyrroline	99583-29-6		savory|meaty fruity starchy
